id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
169666,Red Vanilla,https://www.redvanillaband.com/,Red Vanilla,,,website,06/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of an alternative rock band from Dundee.,,
169718,Brigside Music Publishing Ltd.,http://www.brigsidemusicpublishing.co.uk/,Brigside Music Publishing Ltd.,,,website,06/10/2022,False,Music,MUSIC : PUBLISHING,SC307619,"Site of a music publishing company based in Selkirk, the Scottish Borders.","Selkirk",
169736,Cinder Hall [Records Ltd],https://cinderhallrecords.com/,Cinder Hall Records Ltd,,,website,06/10/2022,False,Music,MUSIC : RECORD COMPANY,SC688691,"Site of a record company based in Saltcoats, North Ayrshire.","North Ayrshire, Saltcoats",
169741,Zap Entertainment Ltd,http://www.zapentertainment.co.uk/,Zap Entertainment Ltd,,,website,06/10/2022,False,Music,BUSINESS,SC241406,Site of an entertainments company based in Clackmannanshire.,,
169801,Man Made Origin [Ltd],http://www.manmadeorigin.com/,Man Made Origin Ltd,,,website,07/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",SC513350,Site of a heavy metal band from Dundee.,,
169818,Cryo Music Ltd,https://cryomusic.com/,Cryo Music Ltd,,,website,10/10/2022,False,Music,MUSIC : PRODUCTION,SC534094,"Site of a production, mastering and studio engineering company based in Glasgow.","Glasgow",
169820,Tuigse Limited,https://tuigse.com/,Tuigse Limited,,,website,10/10/2022,False,Music,MUSIC : RECORD COMPANY,SC541887,Site of a record company based in Glasgow.,"Glasgow",
169822,Graeme Young Production Limited,https://www.graemeyoungproduction.com/,Graeme Young Production Limited,,,website,10/10/2022,False,Music,MUSIC : PRODUCTION,SC554254,"Site of a Christian radio station based in Cumbernauld, North Lanarkshire. A Scottish charitable company SC024130.","Cumbernauld, North Lanarkshire",
169931,Dutch Wine,https://dutchwineband.com/,Dutch Wine,,,website,11/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a rock band from Glasgow.,,
170282,Tony Henry,https://www.tonyhenry.co.uk/,Tony Henry,,,website,16/10/2022,False,Music,MUSIC,,Site of an opera singer and choir leader from St. Albans based in Inverness.,"Inverness",
170283,"Trybe, The",https://www.thetrybe.org/,The Trybe,,,website,16/10/2022,False,Music,MUSIC : TRADITIONAL / FOLK,,Site of a traditional folk band from Scotland.,,
170291,Scottish Clarinet Quartet,http://www.scq.org.uk/,Scottish Clarinet Quartet,,,website,16/10/2022,False,Music,MUSIC,,Site of a classical music quartet based in Scotland.,,
170593,Acutek on Bandcamp,https://acutek.bandcamp.com/,Acutek,,,website,25/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,"Site of an electronica musician based in Forres, Moray.",,
171969,Barbara Bryceland,http://www.barbarabryceland.com/,Barbara Bryceland,,,website,02/11/2022,False,Music,MUSIC,,Site of a Scottish singer.,,
