id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
44379,Falkirk Folk Club,http://www.falkirkfolkclub.co.uk/,Falkirk Folk Club,,,website,18/07/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a traditional music club based in Falkirk, Scotland","Falkirk",
44381,Newtongrange Folk Club,http://www.nittenfolk.co.uk/,Nitten Folk Club,,,website,18/07/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"A traditional music club based on Newtongrange, Midlothian, Scotland","Newtongrange, Midlothian",
44382,Rolling Hills Folk Club,http://www.rollinghillsfolkclub.org.uk/,Rolling Hills Folk Club,,,website,18/07/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a traditional music club located in Darnick Scottish Borders, Scotland.","Darnick",
46155,Friends of Wighton,http://www.friendsofwighton.com/,Friends of Wighton,,,website,12/10/2016,True,Music,MUSIC,,"Site of a group who promote and engage with a collection of eighteenth and early nineteenth century Scottish music and books located in Dundee, and donated to the city by Andrew Wighton.","Dundee",
46873,Music Centeral,http://www.centeral.co.uk/,Music Centeral,,,website,09/11/2016,True,Music,MUSIC,,"Site of a group based in Huntly, Aberdeenshire aiming to invite a wide range of musicians to perform - inspired by local musician Ronald Center.","Huntly",
46874,Haworth Hodgkinson,http://www.haworthhodgkinson.co.uk/,Haworth Hodgkinson,,,website,09/11/2016,True,Music,MUSIC,,"Site of a poet and playwright, composer and improvising musician based in Aberdeen / north east of Scotland.","Aberdeen",
46875,High Moss,http://www.highmoss.co.uk/,High Moss,,,website,09/11/2016,True,Music,MUSIC,,Site containing recordings of Haworth Hodgkinson an Aberdeen / north east of Scotland musician and composer.,"Aberdeen",
46878,Mars in Aquarius,http://www.intuitivemusic.co.uk/,Mars in Aquarius,,,website,09/11/2016,True,Music,MUSIC,,Site of a musical ensemble based in the north east of Scotland.,,
46884,Mark Spalding,http://www.markspaldingmusician.co.uk/,Mark Spalding,,,website,09/11/2016,False,Music,MUSIC,,Site of a musician based in the North East of Scotland,,
46887,Mark Spalding musicblog,https://markspalding.wordpress.com/,Mark Spalding Music Blog,,,website,09/11/2016,True,Music,MUSIC,,Wordpress blog site for a freelance musician based in Arbroath in the north east of Scotland.,"Arbroath",
47650,Steve Byrne,http://www.stevebyrne.co.uk/,Steve Byrne,,,website,05/12/2016,True,Music,MUSIC,,Website of a Scottish folk singer and musician.,,
48199,Ballboy,http://www.ballboymusic.com/,Ballboy,Q805173,https://www.wikidata.org/wiki/Q805173,website,12/01/2017,True,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,"Site of an independent, folk, rock music group based in Edinburgh, Scotland.","Edinburgh",
48212,Lost Map Records,http://lostmap.com/,Lost Map Records,Q16996973,https://www.wikidata.org/wiki/Q16996973,website,12/01/2017,True,Music,MUSIC : RECORD COMPANY,,Site of an independent music recording / record company located on the Hebridean Isle of Eigg.,,
